127.0.0.1, 2019-04-23 23:18:22, GET, /examples/default/list_product, HTTP/1.1, 200, 0.036488
127.0.0.1, 2019-04-23 23:18:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000185
127.0.0.1, 2019-04-23 23:20:20, GET, /examples/default/index, HTTP/1.1, 200, 0.020728
127.0.0.1, 2019-04-23 23:20:20, GET, /favicon.ico, HTTP/1.1, 400, 0.000284
127.0.0.1, 2019-04-23 23:20:26, GET, /admin, HTTP/1.1, 303, 0.002554
127.0.0.1, 2019-04-23 23:20:26, GET, /admin/default/site, HTTP/1.1, 200, 0.022747
127.0.0.1, 2019-04-23 23:20:27, GET, /admin/default/site, HTTP/1.1, 200, 0.021306
127.0.0.1, 2019-04-23 23:20:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
127.0.0.1, 2019-04-23 23:20:38, GET, /admin/default/pack/examples, HTTP/1.1, 200, 0.222572
127.0.0.1, 2019-04-23 23:24:25, GET, /examples/default/index, HTTP/1.1, 200, 0.023464
127.0.0.1, 2019-04-23 23:24:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000176
127.0.0.1, 2019-04-23 23:24:38, GET, /examples/default/user/logout, HTTP/1.1, 303, 0.019893
127.0.0.1, 2019-04-23 23:24:38, GET, /examples/default/index, HTTP/1.1, 200, 0.019589
127.0.0.1, 2019-04-23 23:24:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000186
127.0.0.1, 2019-04-23 23:24:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000190
127.0.0.1, 2019-04-23 23:24:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000200
127.0.0.1, 2019-04-23 23:26:36, GET, /start, HTTP/1.1, 200, 0.051174
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000568
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001475
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001809
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.004610
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002011
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001456
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001864
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001429
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001067
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000624
127.0.0.1, 2019-04-23 23:26:36, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000269
127.0.0.1, 2019-04-23 23:26:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000168
127.0.0.1, 2019-04-23 23:27:26, GET, /start/default/user/register, HTTP/1.1, 200, 0.022387
127.0.0.1, 2019-04-23 23:27:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000183
127.0.0.1, 2019-04-23 23:27:28, GET, /start/default/user/request_reset_password, HTTP/1.1, 200, 0.020657
127.0.0.1, 2019-04-23 23:27:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000318
127.0.0.1, 2019-04-23 23:27:30, GET, /start/default/user/login, HTTP/1.1, 200, 0.021053
127.0.0.1, 2019-04-23 23:27:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000210
127.0.0.1, 2019-04-23 23:27:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000197
127.0.0.1, 2019-04-23 23:30:43, GET, /start/default/index, HTTP/1.1, 200, 0.017602
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.001721
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000544
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002160
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001250
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001880
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001704
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.000941
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001946
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002840
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000939
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001042
127.0.0.1, 2019-04-23 23:30:43, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000266
127.0.0.1, 2019-04-23 23:30:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000212
127.0.0.1, 2019-04-23 23:33:29, GET, /start/default/index, HTTP/1.1, 200, 0.016572
127.0.0.1, 2019-04-23 23:33:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000170
127.0.0.1, 2019-04-23 23:33:50, GET, /start/default/index, HTTP/1.1, 200, 0.017573
127.0.0.1, 2019-04-23 23:33:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000205
127.0.0.1, 2019-04-23 23:33:51, GET, /admin/default/site, HTTP/1.1, 200, 0.020724
127.0.0.1, 2019-04-23 23:33:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000184
